Date,Temperature (C),Precipitation (mm)
2024-01-01,15,0
2024-01-02,14,0.5
2024-01-03,13,1
2024-01-04,12,2
2024-01-05,11,1.5
2024-01-06,10,0
2024-01-07,9,0.2
2024-01-08,8,0.8
2024-01-09,7,0.5
2024-01-10,6,0
2024-01-11,5,0
2024-01-12,4,0
2024-01-13,3,0
2024-01-14,2,0
2024-01-15,1,0
2024-01-16,0,0
2024-01-17,-1,0
2024-01-18,-2,0
2024-01-19,-3,0
2024-01-20,-4,0
2024-01-21,-5,0
2024-01-22,-6,0
2024-01-23,-7,0
2024-01-24,-8,0
2024-01-25,-9,0
2024-01-26,-10,0
2024-01-27,-11,0
2024-01-28,-12,0
2024-01-29,-13,0
2024-01-30,-14,0
2024-01-31,-15,0
2024-02-01,-16,0
2024-02-02,-17,0
2024-02-03,-18,0
2024-02-04,-19,0
2024-02-05,-20,0
2024-02-06,-21,0
2024-02-07,-22,0
2024-02-08,-23,0
2024-02-09,-24,0
2024-02-10,-25,0
2024-02-11,-26,0
2024-02-12,-27,0
2024-02-13,-28,0
2024-02-14,-29,0
2024-02-15,-30,0
2024-02-16,-31,0
2024-02-17,-32,0
2024-02-18,-33,0
2024-02-19,-34,0
2024-02-20,-35,0
